id,name,latitude,longitude,address,city_name,department,city_code,region,country,power_total_mw,operation_start_year,total_floor_area_sqm,IT_floor_area_sqm,progress_step,operator
141,ADISTA MAXÉVILLE,48.703,6.139,9 Rue Blaise Pascal,Maxéville,54,54320,Grand Est,France,1.000,2012,1434.000,717.000,operating,ADISTA
142,ADISTA SAINT-ETIENNE,45.459,4.396,1 Rue de la Presse,Saint-Étienne,42,42000,Auvergne-Rhône-Alpes,France,4.256,2005,3615.000,18075.000,operating,ADISTA
143,ADISTA_FINGERPRINT,45.049,5.086,5 Rue Jean Charcot,Romans-sur-Isère,26,26100,Auvergne-Rhône-Alpes,France,0.348,1990,300.000,150.000,operating,ADISTA
144,ADVANCED_MEDIOMATRIX,49.086,6.239,"1 Rue du Jardin d\,Ecosse",Peltre,57,57245,Grand Est,France,1.600,,2700.000,600.000,operating,ADVANCED
145,AGARIK ATOS_1 & 2,47.452,-0.484,210 Boulevard André Bahonneau,Trélazé,50,49800,Pays de la Loire,France,4.500,,19776.000,3120.000,operating,AGARIK
146,AGS_CLOUD,43.649,3.974,265 RUE DE LA GARRIGUETTE,Saint-Aunès,34,34130,Occitanie,France,0.644,2012,547.000,2735.000,operating,AGS
147,ALLIANCE_RÉSEAUX ARCALPIN,45.267,6.368,26 Rue de Saint-Exupéry,Saint-Jean-de-Maurienne,73,73300,Auvergne-Rhône-Alpes,France,0.526,2018,447.000,2235.000,operating,ALLIANCE
148,ALPES_NETWORKS,45.891,6.079,17 rue Mira,Annecy,75,74650,Auvergne-Rhône-Alpes,France,2.094,2021,1779.000,8895.000,operating,ALPES
149,AQUITEM_&_ALIÉNOR.NET,44.861,-0.593,375 Av. de Tivoli,Le Bouscat,33,33110,Nouvelle-Aquitaine,France,1.406,2004,1194.000,597.000,operating,AQUITEM
150,AtaCenter - ATARAXIE,43.217,2.345,"80- Allée d\,Iéna",Carcassonne,11,11000,Occitanie,France,0.235,,200.000,100.000,operating,ATARAXIE
151,AZNETWORK,48.431,0.091,40 Rue André Ampere,Alençon,61,61000,Normandie,France,0.366,2007,311.000,1555.000,operating,AZNETWORK
152,AZUR_DATACENTER AZ02,43.615,7.074,950 route des Colles,Biot,6,6410,"Provence-Alpes-Côte d\,Azur",France,2.000,2007,1000.000,500.000,operating,AZUR
153,BLUE CHÂTEAUBOURG,48.102,-1.403,2 Rue Blaise Pascal,Châteaubourg,35,35220,Bretagne,France,4.444,2010,3002.000,1500.000,operating,BLUE
154,BLUE NANTES,47.223,-1.635,7 RUE DE BRUXELLES 44300 NANTES,Saint-Herblain,45,44821,Pays de la Loire,France,3.120,2024,2108.000,2000.000,operating,BLUE
155,C-DATACENTERS AIX-EN-PROVENCE,43.534,5.362,La Provençale,Aix-en-Provence,14,13510,"Provence-Alpes-Côte d\,Azur",France,2.000,,3000.000,1500.000,operating,C-DATACENTERS
156,C-DATACENTERS / Casino IT / Groupe Casino Saint Etienne,45.440,4.387,35 Rue de la Montat- 42000 Saint-Étienne,Saint-Étienne,42,42000,Auvergne-Rhône-Alpes,France,3.000,2007,2062.000,960.000,operating,Casino IT / C-DATACENTERS
157,CASTLE_IT,47.347,0.769,1 - 3 Rue des Pies-Grièches,Larçay,37,37270,Centre-Val de Loire,France,1.000,,1300.000,650.000,operating,CASTLE
158,CELESTE ARMOR,47.231,-1.631,2 Impasse Joséphine Baker,Saint-Herblain,44,44800,Pays de la Loire,France,1.000,2011,1163.000,900.000,operating,CELESTE
159,"CELESTE FIL_D\,ARIANE",43.928,2.148,1 Rue Pierre gilles de Gennes,Albi,81,81000,Occitanie,France,2.000,2018,3294.000,1647.000,operating,CELESTE
160,CELESTE - MARYLIN,48.835,2.588,20 rue Albert Einstein,Champs-sur-Marne,77,77420,Ile-de-France,France,6.000,2011,4600.000,2300.000,operating,CELESTE
161,CIVICOS_NETWORKING ROUBAIX,50.691,3.200,1 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,0.800,,100.000,60.000,operating,Civicos Networking
162,"CM\,IN CHARTRES_MÉTROPOLE_INNOVATION_NUMÉRIQUE",48.421,1.501,Le Coudray,Le Coudray,28,28630,Centre-Val de Loire,France,1.156,2022,982.000,491.000,operating,C Chartres Innovations Numériques - CCIN
163,COGENT BORDEAUX,44.884,-0.560,hangar g2- Bassin à Flots,Bassens- Bordeaux,33,33300,Nouvelle-Aquitaine,France,0.400,2018,400.000,400.000,operating,"Cogent Communications, Inc."
164,COGENT DIJON,47.309,5.029,41 Quai Gauthey,Dijon,21,21000,Bourgogne-Franche-Comté,France,0.200,2018,250.000,250.000,operating,"Cogent Communications, Inc."
165,COGENT GRENOBLE,45.190,5.737,33 rue Joseph Chanrion,Grenoble,38,38000,Auvergne-Rhône-Alpes,France,0.400,,450.000,450.000,operating,"Cogent Communications, Inc."
166,COGENT LILLE,50.638,3.091,72 rue Jenner,Lille,59,59000,Hauts-de-France,France,0.400,,500.000,500.000,operating,"Cogent Communications, Inc."
167,COGENT MONTPELLIER,43.611,3.877,"189 Rue du 56ÈME Régiment d\,Artillerie",Montpellier,34,34070,Occitanie,France,0.400,,500.000,500.000,operating,"Cogent Communications, Inc."
168,COGENT NANTES,47.219,-1.554,32 Bd Victor Hugo- 44000 Nantes,Nantes,44,44007,Pays de la Loire,France,0.640,,500.000,500.000,operating,"Cogent Communications, Inc."
169,COGENT NICE,43.703,7.260,16 AVENUE THIERS,Nice,60,6000,"Provence-Alpes-Côte d\,Azur",France,0.010,,90.000,90.000,operating,"Cogent Communications, Inc."
170,COGENT POITIERS,46.580,0.340,"18 Bd Jeanne d\,Arc- 86000 Poitiers",Poitiers,86,86000,Nouvelle-Aquitaine,France,0.500,,450.000,450.000,operating,"Cogent Communications, Inc."
171,COGENT RENNES,48.111,-1.680,Parc Lorans- Av. Chardonnet- 35000 Rennes,Rennes,35,35000,Bretagne,France,0.300,,460.000,460.000,operating,"Cogent Communications, Inc."
172,COGENT ROUEN,49.429,1.076,20 Rue Alexandre Barrabé,Rouen,76,76100,Normandie,France,1.012,,350.000,350.000,operating,"Cogent Communications, Inc."
173,COGENT SOPHIA-ANTIPOLIS,43.581,7.124,Pôle Entreprise Euro 95 165 rue Cistes,Antibes,66,6600,"Provence-Alpes-Côte d\,Azur",France,1.134,,450.000,450.000,operating,"Cogent Communications, Inc."
174,COGENT STRASBOURG,48.601,7.744,46 Rte de Bischwiller,Schiltigheim,67,67300,Grand Est,France,1.267,,500.000,500.000,operating,"Cogent Communications, Inc."
175,COGENT TOULOUSE,43.604,1.444,125 Chem. du Sang de Serp,Toulouse,31,31200,Occitanie,France,1.600,,600.000,600.000,operating,"Cogent Communications, Inc."
176,COGENT TOURS,47.432,0.686,171 Rue des Douets,Tours,37,37100,Centre-Val de Loire,France,1.139,,450.000,450.000,operating,"Cogent Communications, Inc."
177,COM6,45.806,4.754,15 Chem. des Hirondelles,Dardilly,69,69570,Auvergne-Rhône-Alpes,France,2.444,,2076.000,1038.000,operating,Com6
178,COMARCH,50.615,3.117,17 Rue Paul Langevin ZI du Hellu,Lezennes,59,59260,Hauts-de-France,France,2.600,2017,2410.000,350.000,operating,COMARCH (Healthcare)
179,ADISTA - CYRÈS_GROUPE,47.436,0.695,9 Rue de Suède,Tours,37,37100,Centre-Val de Loire,France,0.808,2015,686.000,343.000,operating,ADISTA
180,D-LAKE,45.908,6.103,3 Esplanade Augustin,Annecy,74,74960,Auvergne-Rhône-Alpes,France,4.558,,3872.000,1936.000,operating,D-Lake
181,DATA_17,45.930,-0.520,"350 Rue de la Prairie- 17400 Saint-Jean-d\,Angély",Fossemagne,17,17400,Nouvelle-Aquitaine,France,0.400,2020,700.000,350.000,operating,Data 17
182,DATACAMPUS CASSIN_1,46.651,0.375,Technopole du Futuroscope 86360 Chasseneuil,Chasseneuil-du-Poitou,86,86360,Nouvelle-Aquitaine,France,0.038,,327.000,1635.000,operating,DATACAMPUS
183,DATAGREX,48.054,0.188,28 Rue de Villeneuve,Saint-Saturnin,72,72650,Pays de la Loire,France,13.099,2014,11126.000,5563.000,operating,Datagrex
184,DATAOUEST_1,49.106,-1.060,77 Rue Leny Escudero,Saint-Lô,50,50000,Normandie,France,0.200,,200.000,100.000,operating,Dataouest
185,DATAOUEST_2,49.106,-1.060,77 Rue Leny Escudero,Saint-Lô,50,50000,Normandie,France,0.200,2022,200.000,100.000,operating,Dataouest
186,DC2SCALE_GRENOBLE_ALP1,45.191,5.704,37 Rue Diderot,Grenoble,38,38000,Auvergne-Rhône-Alpes,France,0.630,2020,302.000,151.000,operating,DC2SCALE
187,DÉCIMA ENTREPÔT_NUMÉRIQUE,50.290,2.804,2 rue François Hennebique,Saint-Laurent-Blangy,62,62223,Hauts-de-France,France,7.793,,3771.000,26325.000,operating,Decima
188,DÉCIMA POUDRIÈRE_NUMÉRIQUE,,,Rue François Hennebicque,Arras,62,62000,Hauts-de-France,France,3.202,2016,2760.000,1380.000,operating,Decima
189,Digital Reality MRS1,43.310,5.373,40 Avenue Roger Salengro,Marseille,13,13003,"Provence-Alpes-Côte d\,Azur",France,15.600,2015,6200.000,5890.000,operating,Digital Reality
190,Digital Reality MRS2,43.296,5.370,Enceinte Portuaire- Porte 4,Marseille,13,13016,"Provence-Alpes-Côte d\,Azur",France,16.000,2018,8800.000,4400.000,operating,Digital Reality
191,Digital Reality MRS3,43.296,5.370,Enceinte Portuaire- Porte 4,Marseille,13,13016,"Provence-Alpes-Côte d\,Azur",France,25.000,2020,14200.000,7100.000,operating,Digital Reality
